id,url,title,content,topic,source,authors,publish_date,extraction_date,word_count
gaza_001,https://example-news.com/gaza/article-1,Israeli Forces Target Terrorist Infrastructure - Latest Updates,"Violence flared up again in the ongoing conflict as Israeli forces responded to attacks from Gaza. The military operation aimed to neutralize threats from Hamas militants. According to sources, the extremist group has been using civilian populations as human shields. The Israeli Defense Forces stated they are taking precautions to minimize civilian casualties. - Report The conflict has drawn international attention.",gaza,BBC,['Journalist 13'],2023-10-25T00:00:00,2024-01-15T10:00:00,61
gaza_002,https://example-news.com/gaza/article-2,Israel Launches Military Operation in Gaza - Report,"Violence flared up again in the ongoing conflict as Israeli forces responded to attacks from Gaza. The military operation aimed to neutralize threats from Hamas militants. According to sources, the extremist group has been using civilian populations as human shields. The Israeli Defense Forces stated they are taking precautions to minimize civilian casualties. - Report Palestinian officials reported casualties.",gaza,BBC,['Journalist 5'],2024-09-09T00:00:00,2024-01-15T10:00:00,59
gaza_003,https://example-news.com/gaza/article-3,Israeli Forces Target Terrorist Infrastructure: What We Know,Israeli forces launched a military operation in response to continued aggression from Gaza. The targeted strikes focused on Hamas military compounds and weapons depots. Military analysts noted that militants often operate from within civilian neighborhoods. The operation is part of ongoing efforts to ensure Israeli security. - Analysis Palestinian officials reported casualties.,gaza,Reuters,['Journalist 1'],2024-02-03T00:00:00,2024-01-15T10:00:00,52
gaza_004,https://example-news.com/gaza/article-4,Israel Launches Military Operation in Gaza: What We Know,"Tensions escalated following rocket attacks from Gaza, prompting Israeli military response. The conflict has resulted in significant damage to infrastructure. Hamas, the militant organization controlling Gaza, has been accused of launching attacks from residential areas. International observers called for restraint from both sides. - Report Palestinian officials reported casualties.",gaza,BBC,['Journalist 46'],2024-04-15T00:00:00,2024-01-15T10:00:00,49
gaza_005,https://example-news.com/gaza/article-5,Gaza Conflict Escalates as Violence Continues: What We Know,"Tensions escalated following rocket attacks from Gaza, prompting Israeli military response. The conflict has resulted in significant damage to infrastructure. Hamas, the militant organization controlling Gaza, has been accused of launching attacks from residential areas. International observers called for restraint from both sides.: What We Know The military operation lasted several hours.",gaza,New York Times,['Journalist 49'],2024-07-04T00:00:00,2024-01-15T10:00:00,52
gaza_006,https://example-news.com/gaza/article-6,Israel Launches Military Operation in Gaza - Latest Updates,"Violence flared up again in the ongoing conflict as Israeli forces responded to attacks from Gaza. The military operation aimed to neutralize threats from Hamas militants. According to sources, the extremist group has been using civilian populations as human shields. The Israeli Defense Forces stated they are taking precautions to minimize civilian casualties. The conflict has drawn international attention.",gaza,Guardian,['Journalist 1'],2023-10-25T00:00:00,2024-01-15T10:00:00,59
gaza_007,https://example-news.com/gaza/article-7,Hamas Militants Fire Rockets at Israel - Report,"Tensions escalated following rocket attacks from Gaza, prompting Israeli military response. The conflict has resulted in significant damage to infrastructure. Hamas, the militant organization controlling Gaza, has been accused of launching attacks from residential areas. International observers called for restraint from both sides. - Breaking News The military operation lasted several hours.",gaza,CNN,['Journalist 18'],2024-11-17T00:00:00,2024-01-15T10:00:00,52
gaza_008,https://example-news.com/gaza/article-8,Hamas Militants Fire Rockets at Israel - Report,"Violence flared up again in the ongoing conflict as Israeli forces responded to attacks from Gaza. The military operation aimed to neutralize threats from Hamas militants. According to sources, the extremist group has been using civilian populations as human shields. The Israeli Defense Forces stated they are taking precautions to minimize civilian casualties. - Analysis Humanitarian organizations expressed concern.",gaza,New York Times,['Journalist 22'],2024-11-21T00:00:00,2024-01-15T10:00:00,59
gaza_009,https://example-news.com/gaza/article-9,Gaza Conflict Escalates as Violence Continues: What We Know,Israeli forces launched a military operation in response to continued aggression from Gaza. The targeted strikes focused on Hamas military compounds and weapons depots. Military analysts noted that militants often operate from within civilian neighborhoods. The operation is part of ongoing efforts to ensure Israeli security. - Latest Updates Humanitarian organizations expressed concern.,gaza,Reuters,['Journalist 44'],2023-10-30T00:00:00,2024-01-15T10:00:00,53
gaza_010,https://example-news.com/gaza/article-10,Israeli Forces Target Terrorist Infrastructure - Latest Updates,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory. - Analysis Israeli officials stated the operation was successful.,gaza,Guardian,['Journalist 19'],2023-12-20T00:00:00,2024-01-15T10:00:00,54
gaza_011,https://example-news.com/gaza/article-11,Israeli Forces Target Terrorist Infrastructure: What We Know,"Violence flared up again in the ongoing conflict as Israeli forces responded to attacks from Gaza. The military operation aimed to neutralize threats from Hamas militants. According to sources, the extremist group has been using civilian populations as human shields. The Israeli Defense Forces stated they are taking precautions to minimize civilian casualties.: What We Know Palestinian officials reported casualties.",gaza,Reuters,['Journalist 12'],2023-12-23T00:00:00,2024-01-15T10:00:00,60
gaza_012,https://example-news.com/gaza/article-12,Israel Launches Military Operation in Gaza - Report,Israeli forces launched a military operation in response to continued aggression from Gaza. The targeted strikes focused on Hamas military compounds and weapons depots. Military analysts noted that militants often operate from within civilian neighborhoods. The operation is part of ongoing efforts to ensure Israeli security.: What We Know Palestinian officials reported casualties.,gaza,Guardian,['Journalist 45'],2024-10-18T00:00:00,2024-01-15T10:00:00,53
gaza_013,https://example-news.com/gaza/article-13,Civilian Casualties Reported in Gaza Strikes,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory. Humanitarian organizations expressed concern.,gaza,BBC,['Journalist 46'],2024-01-31T00:00:00,2024-01-15T10:00:00,49
gaza_014,https://example-news.com/gaza/article-14,Israeli Forces Target Terrorist Infrastructure - Report,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory. Humanitarian organizations expressed concern.,gaza,New York Times,['Journalist 27'],2024-10-23T00:00:00,2024-01-15T10:00:00,49
gaza_015,https://example-news.com/gaza/article-15,Israel Launches Military Operation in Gaza - Analysis,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory. - Breaking News Israeli officials stated the operation was successful.,gaza,CNN,['Journalist 19'],2024-12-21T00:00:00,2024-01-15T10:00:00,55
gaza_016,https://example-news.com/gaza/article-16,Israel Launches Military Operation in Gaza - Breaking News,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory. - Report Humanitarian organizations expressed concern.,gaza,Reuters,['Journalist 19'],2023-12-06T00:00:00,2024-01-15T10:00:00,51
gaza_017,https://example-news.com/gaza/article-17,Civilian Casualties Reported in Gaza Strikes,Israeli forces launched a military operation in response to continued aggression from Gaza. The targeted strikes focused on Hamas military compounds and weapons depots. Military analysts noted that militants often operate from within civilian neighborhoods. The operation is part of ongoing efforts to ensure Israeli security. The conflict has drawn international attention.,gaza,New York Times,['Journalist 37'],2024-12-17T00:00:00,2024-01-15T10:00:00,52
gaza_018,https://example-news.com/gaza/article-18,Gaza Conflict Escalates as Violence Continues - Report,Israeli forces launched a military operation in response to continued aggression from Gaza. The targeted strikes focused on Hamas military compounds and weapons depots. Military analysts noted that militants often operate from within civilian neighborhoods. The operation is part of ongoing efforts to ensure Israeli security.: What We Know The conflict has drawn international attention.,gaza,New York Times,['Journalist 14'],2023-12-13T00:00:00,2024-01-15T10:00:00,55
gaza_019,https://example-news.com/gaza/article-19,Israel Launches Military Operation in Gaza: What We Know,Israeli forces launched a military operation in response to continued aggression from Gaza. The targeted strikes focused on Hamas military compounds and weapons depots. Military analysts noted that militants often operate from within civilian neighborhoods. The operation is part of ongoing efforts to ensure Israeli security.: What We Know Israeli officials stated the operation was successful.,gaza,BBC,['Journalist 31'],2024-03-03T00:00:00,2024-01-15T10:00:00,56
