id,url,title,content,topic,source,authors,publish_date,extraction_date,word_count
gaza_001,https://example-news.com/gaza/article-1,Gaza Conflict Escalates as Violence Continues,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory. - Breaking News Israeli officials stated the operation was successful.,gaza,Reuters,['Journalist 16'],2024-04-25T00:00:00,2024-01-15T10:00:00,55
gaza_002,https://example-news.com/gaza/article-2,Gaza Conflict Escalates as Violence Continues - Breaking News,"Violence flared up again in the ongoing conflict as Israeli forces responded to attacks from Gaza. The military operation aimed to neutralize threats from Hamas militants. According to sources, the extremist group has been using civilian populations as human shields. The Israeli Defense Forces stated they are taking precautions to minimize civilian casualties.: What We Know Palestinian officials reported casualties.",gaza,CNN,['Journalist 37'],2024-10-25T00:00:00,2024-01-15T10:00:00,60
gaza_003,https://example-news.com/gaza/article-3,Israeli Forces Target Terrorist Infrastructure: What We Know,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory. - Latest Updates Palestinian officials reported casualties.,gaza,BBC,['Journalist 13'],2023-12-01T00:00:00,2024-01-15T10:00:00,52
gaza_004,https://example-news.com/gaza/article-4,Israeli Forces Target Terrorist Infrastructure - Breaking News,"Violence flared up again in the ongoing conflict as Israeli forces responded to attacks from Gaza. The military operation aimed to neutralize threats from Hamas militants. According to sources, the extremist group has been using civilian populations as human shields. The Israeli Defense Forces stated they are taking precautions to minimize civilian casualties. - Breaking News Israeli officials stated the operation was successful.",gaza,CNN,['Journalist 26'],2024-01-16T00:00:00,2024-01-15T10:00:00,63
gaza_005,https://example-news.com/gaza/article-5,Gaza Conflict Escalates as Violence Continues,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory. The military operation lasted several hours.,gaza,BBC,['Journalist 23'],2024-05-13T00:00:00,2024-01-15T10:00:00,51
gaza_006,https://example-news.com/gaza/article-6,Civilian Casualties Reported in Gaza Strikes - Breaking News,"Violence flared up again in the ongoing conflict as Israeli forces responded to attacks from Gaza. The military operation aimed to neutralize threats from Hamas militants. According to sources, the extremist group has been using civilian populations as human shields. The Israeli Defense Forces stated they are taking precautions to minimize civilian casualties. - Report Israeli officials stated the operation was successful.",gaza,Guardian,['Journalist 41'],2024-10-12T00:00:00,2024-01-15T10:00:00,62
gaza_007,https://example-news.com/gaza/article-7,Civilian Casualties Reported in Gaza Strikes,Israeli forces launched a military operation in response to continued aggression from Gaza. The targeted strikes focused on Hamas military compounds and weapons depots. Military analysts noted that militants often operate from within civilian neighborhoods. The operation is part of ongoing efforts to ensure Israeli security. - Breaking News Israeli officials stated the operation was successful.,gaza,Reuters,['Journalist 27'],2024-05-16T00:00:00,2024-01-15T10:00:00,56
gaza_008,https://example-news.com/gaza/article-8,Civilian Casualties Reported in Gaza Strikes - Latest Updates,"Tensions escalated following rocket attacks from Gaza, prompting Israeli military response. The conflict has resulted in significant damage to infrastructure. Hamas, the militant organization controlling Gaza, has been accused of launching attacks from residential areas. International observers called for restraint from both sides. - Report Palestinian officials reported casualties.",gaza,Reuters,['Journalist 30'],2024-12-24T00:00:00,2024-01-15T10:00:00,49
gaza_009,https://example-news.com/gaza/article-9,Hamas Militants Fire Rockets at Israel - Latest Updates,"Violence flared up again in the ongoing conflict as Israeli forces responded to attacks from Gaza. The military operation aimed to neutralize threats from Hamas militants. According to sources, the extremist group has been using civilian populations as human shields. The Israeli Defense Forces stated they are taking precautions to minimize civilian casualties. - Latest Updates The military operation lasted several hours.",gaza,CNN,['Journalist 31'],2024-09-21T00:00:00,2024-01-15T10:00:00,62
gaza_010,https://example-news.com/gaza/article-10,Israeli Forces Target Terrorist Infrastructure,"Violence flared up again in the ongoing conflict as Israeli forces responded to attacks from Gaza. The military operation aimed to neutralize threats from Hamas militants. According to sources, the extremist group has been using civilian populations as human shields. The Israeli Defense Forces stated they are taking precautions to minimize civilian casualties. Israeli officials stated the operation was successful.",gaza,BBC,['Journalist 48'],2024-05-19T00:00:00,2024-01-15T10:00:00,60
gaza_011,https://example-news.com/gaza/article-11,Civilian Casualties Reported in Gaza Strikes - Report,Israeli forces launched a military operation in response to continued aggression from Gaza. The targeted strikes focused on Hamas military compounds and weapons depots. Military analysts noted that militants often operate from within civilian neighborhoods. The operation is part of ongoing efforts to ensure Israeli security. - Latest Updates The conflict has drawn international attention.,gaza,BBC,['Journalist 11'],2023-12-08T00:00:00,2024-01-15T10:00:00,55
gaza_012,https://example-news.com/gaza/article-12,Israel Launches Military Operation in Gaza - Report,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory. - Breaking News Israeli officials stated the operation was successful.,gaza,CNN,['Journalist 37'],2023-11-19T00:00:00,2024-01-15T10:00:00,55
gaza_013,https://example-news.com/gaza/article-13,Israeli Forces Target Terrorist Infrastructure: What We Know,"Tensions escalated following rocket attacks from Gaza, prompting Israeli military response. The conflict has resulted in significant damage to infrastructure. Hamas, the militant organization controlling Gaza, has been accused of launching attacks from residential areas. International observers called for restraint from both sides. The military operation lasted several hours.",gaza,CNN,['Journalist 47'],2024-03-25T00:00:00,2024-01-15T10:00:00,49
gaza_014,https://example-news.com/gaza/article-14,Israeli Forces Target Terrorist Infrastructure - Analysis,"Tensions escalated following rocket attacks from Gaza, prompting Israeli military response. The conflict has resulted in significant damage to infrastructure. Hamas, the militant organization controlling Gaza, has been accused of launching attacks from residential areas. International observers called for restraint from both sides. - Latest Updates Palestinian officials reported casualties.",gaza,Reuters,['Journalist 50'],2023-11-15T00:00:00,2024-01-15T10:00:00,50
gaza_015,https://example-news.com/gaza/article-15,Israeli Forces Target Terrorist Infrastructure: What We Know,Israeli forces launched a military operation in response to continued aggression from Gaza. The targeted strikes focused on Hamas military compounds and weapons depots. Military analysts noted that militants often operate from within civilian neighborhoods. The operation is part of ongoing efforts to ensure Israeli security. - Report The military operation lasted several hours.,gaza,Reuters,['Journalist 23'],2023-10-29T00:00:00,2024-01-15T10:00:00,54
gaza_016,https://example-news.com/gaza/article-16,Gaza Conflict Escalates as Violence Continues - Report,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory. - Breaking News Palestinian officials reported casualties.,gaza,Guardian,['Journalist 31'],2023-10-08T00:00:00,2024-01-15T10:00:00,52
gaza_017,https://example-news.com/gaza/article-17,Hamas Militants Fire Rockets at Israel - Analysis,"Violence flared up again in the ongoing conflict as Israeli forces responded to attacks from Gaza. The military operation aimed to neutralize threats from Hamas militants. According to sources, the extremist group has been using civilian populations as human shields. The Israeli Defense Forces stated they are taking precautions to minimize civilian casualties.: What We Know Palestinian officials reported casualties.",gaza,Guardian,['Journalist 26'],2023-12-25T00:00:00,2024-01-15T10:00:00,60
gaza_018,https://example-news.com/gaza/article-18,Gaza Conflict Escalates as Violence Continues - Breaking News,"Tensions escalated following rocket attacks from Gaza, prompting Israeli military response. The conflict has resulted in significant damage to infrastructure. Hamas, the militant organization controlling Gaza, has been accused of launching attacks from residential areas. International observers called for restraint from both sides. - Breaking News Humanitarian organizations expressed concern.",gaza,Guardian,['Journalist 6'],2024-01-02T00:00:00,2024-01-15T10:00:00,50
gaza_019,https://example-news.com/gaza/article-19,Israeli Forces Target Terrorist Infrastructure: What We Know,"Tensions escalated following rocket attacks from Gaza, prompting Israeli military response. The conflict has resulted in significant damage to infrastructure. Hamas, the militant organization controlling Gaza, has been accused of launching attacks from residential areas. International observers called for restraint from both sides. Israeli officials stated the operation was successful.",gaza,Reuters,['Journalist 17'],2024-02-07T00:00:00,2024-01-15T10:00:00,50
gaza_020,https://example-news.com/gaza/article-20,Civilian Casualties Reported in Gaza Strikes - Report,Israeli forces launched a military operation in response to continued aggression from Gaza. The targeted strikes focused on Hamas military compounds and weapons depots. Military analysts noted that militants often operate from within civilian neighborhoods. The operation is part of ongoing efforts to ensure Israeli security. - Analysis The military operation lasted several hours.,gaza,BBC,['Journalist 16'],2023-11-23T00:00:00,2024-01-15T10:00:00,54
gaza_021,https://example-news.com/gaza/article-21,Israeli Forces Target Terrorist Infrastructure - Analysis,"Violence flared up again in the ongoing conflict as Israeli forces responded to attacks from Gaza. The military operation aimed to neutralize threats from Hamas militants. According to sources, the extremist group has been using civilian populations as human shields. The Israeli Defense Forces stated they are taking precautions to minimize civilian casualties. - Latest Updates The military operation lasted several hours.",gaza,CNN,['Journalist 4'],2024-07-24T00:00:00,2024-01-15T10:00:00,62
gaza_022,https://example-news.com/gaza/article-22,Israeli Forces Target Terrorist Infrastructure - Report,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory. Humanitarian organizations expressed concern.,gaza,Guardian,['Journalist 27'],2024-05-24T00:00:00,2024-01-15T10:00:00,49
gaza_023,https://example-news.com/gaza/article-23,Hamas Militants Fire Rockets at Israel: What We Know,The Israeli military conducted a series of targeted strikes against Hamas positions in Gaza. The operation targeted terrorist infrastructure and weapons storage facilities. Military officials reported that militants were using civilian areas as cover. The escalation began when Hamas fighters launched rockets into Israeli territory.: What We Know Humanitarian organizations expressed concern.,gaza,CNN,['Journalist 7'],2024-02-16T00:00:00,2024-01-15T10:00:00,52
